,Size,Yield,Vol,Momentum,spx
IT.las,0,0,0,0,0
FIN.las,-0.007295878,-0.075255065,0.003117065,0.004665655,0.220741493
ENG.las,0.054985741,0.079125095,-0.041230968,-0.026896438,0
HLTH.las,0.004655673,0,0.007870833,0.055985424,0
CONS.las,-0.038284101,0.016449233,0.060596108,-0.000339311,0
COND.las,0.017110623,0,3.06E-06,0.005645768,0
INDU.las,0.030249113,0.010508695,0,-0.017152871,0
UTIL.las,-0.016629907,0.018550568,0.071352895,-0.002202998,0
TELS.las,0,0.005984325,0.011917468,0,0
MATR.las,0.022152482,0.047914702,-0.020549706,-0.025995927,-0.193843391
